Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1 u,
"C10, C15, C18, C24",0603,4,22 n,
"C11, C12, C14, C22, C23, C3",0603,6,100 n,
"C13, C16, C2, C21, C6, C8, C9",0603,7,10 u,
C17,0603,1,22 u,
C19,0603,1,"4,7 u",
C20,0603,1,100 u,
C4,0603,1,47 n,
C5,0603,1,4.7 u,
C7,0603,1,20 u,
"D1, D2",0603,2,LED,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D4,D_SMA_Handsoldering,1,D,
"D5, D6, D7",D_SOD-323,3,5 V,
D8,D_SOD-323,1,"3,3 V",
D9,D_SOD-323,1,12 V,
J1,USB_C_6_DEALON,1,USB_C_Receptacle_PowerOnly_6P,
"J10, J14",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
"J11, J12",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Pin,
J13,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05_Pin,
"J2, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Socket,
"J3, J4, J5",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,3,Conn_01x04_Socket,
"J6, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Socket,
J7,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Bateria,
L1,1008,1,1 u,
L2,1008,1,2.2 u,
L3,1008,1,900 n,
Q1,TO-252-2,1,QM6015D,
R1,0603,1,"1,2 k",
R10,0603,1,DNP,
"R11, R19",0603,2,732 k,
"R14, R21, R22, R23, R24, R25, R26, R27",0603,8,R,
R15,0603,1,"86,6 k",
R16,0603,1,"56,2 k",
R17,0603,1,274 k,
R18,0603,1,178 k,
"R2, R3",0603,2,5.1 k,
R20,0603,1,"80,6 k",
"R28, R29, R30",0603,3,4.7k,
R4,0603,1,5.24 k,
R5,0603,1,30.31 k,
R6,0603,1,91 k,
"R7, R8, R9",0603,3,10 k,
TH1,0603,1,10 k 3434,
U1,ESP32_mini,1,mini_esp32,
U2,WQFN-HR18__RYK_TEX,1,BQ25628ERYKR,
U3,RNW0013A,1,TPS611781RNWR,
U4,SOT-23-6,1,TLV61070ADBV,
"U8, U9",PWP0016J_N,2,DRV8876PWPR,
