Designator,Mid X,Mid Y,Rotation,Layer
C1,178.375001,-89.65,270.0,top
C10,134.599999,-80.612499,0.0,top
C11,134.599999,-82.112499,180.0,top
C12,131.099999,-80.612499,180.0,top
C13,131.099999,-82.112499,180.0,top
C14,159.5,-98.0,180.0,top
C15,152.0,-98.5,270.0,top
C16,154.0,-95.0,90.0,top
C17,135.0,-99.0,180.0,top
C18,155.0,-90.0,270.0,top
C19,155.0,-99.0,270.0,top
C2,181.0,-88.65,0.0,top
C20,156.5,-99.0,270.0,top
C21,137.0,-52.959999,180.0,top
C22,137.0,-51.459999,180.0,top
C23,140.499999,-52.959999,0.0,top
C24,140.5,-51.459999,0.0,top
C3,181.0,-90.15,0.0,top
C4,181.0,-87.0,180.0,top
C5,174.375001,-93.15,180.0,top
C6,178.875001,-97.15,180.0,top
C7,182.375001,-97.15,270.0,top
C8,178.0,-55.0,0.0,top
C9,175.0,-48.0,90.0,top
D1,162.5,-107.5,90.0,top
D2,166.5,-107.5,90.0,top
D3,126.5,-94.0,0.0,top
D4,129.5,-88.0,0.0,top
D5,164.56,-101.775,0.0,top
D6,171.3,-49.9,270.0,top
D7,130.05,-101.55,0.0,top
D8,167.0,-51.5,90.0,top
D9,134.75,-97.0,180.0,top
J1,155.0,-104.0375,0.0,top
J10,183.5,-105.55,180.0,top
J11,127.0,-104.95,0.0,top
J12,137.0,-104.95,0.0,top
J13,155.0,-51.45,0.0,top
J14,146.0,-104.95,0.0,top
J2,126.8,-74.112499,270.0,top
J3,181.5,-65.45,0.0,top
J4,181.5,-73.45,0.0,top
J5,181.5,-81.5,0.0,top
J6,183.0,-38.09,0.0,top
J7,173.5,-105.5,0.0,top
J8,132.949997,-44.459999,270.0,top
J9,171.5,-37.95,0.0,top
L1,184.375001,-91.65,270.0,top
L2,178.0,-52.5,0.0,top
L3,162.0,-95.5,180.0,top
Q1,143.34,-97.0025,0.0,top
R1,174.375001,-95.0,0.0,top
R11,181.5,-48.0,270.0,top
R14,139.899997,-38.459999,270.0,top
R15,156.5,-90.0,90.0,top
R16,158.0,-90.0,90.0,top
R17,159.5,-90.0,90.0,top
R18,153.5,-98.5,270.0,top
R19,151.0,-91.5,90.0,top
R2,157.5,-101.5,180.0,top
R20,152.5,-91.5,90.0,top
R21,135.549999,-67.612499,270.0,top
R22,131.049999,-67.612499,90.0,top
R23,134.049999,-67.612499,270.0,top
R24,132.549999,-67.612499,90.0,top
R25,138.399997,-38.459999,90.0,top
R26,141.399997,-38.459999,270.0,top
R27,136.899997,-38.459999,90.0,top
R28,139.0,-79.96,270.0,top
R29,172.0,-70.5,270.0,top
R3,152.5,-101.5,0.0,top
R30,172.0,-65.96,90.0,top
R4,174.875001,-97.65,270.0,top
R5,173.375001,-97.65,90.0,top
R6,173.5,-48.0,90.0,top
R7,173.5,-45.0,90.0,top
R8,166.5,-104.5,90.0,top
R9,162.5,-104.5,90.0,top
TH1,171.875001,-97.65,90.0,top
U1,155.5,-74.96,0.0,top
U2,179.5,-93.5,0.0,top
U3,157.5,-94.5,270.0,top
U4,178.0,-49.0,0.0,top
U8,133.0,-74.5,270.0,top
U9,139.049999,-45.134999,270.0,top
